time_ms,ax,ay,az,gx,gy,gz
5588,10.006,-0.268,1.006,0.099,-1.931,-2.771
5638,10.198,0.287,0.819,9.969,2.870,-3.656
5688,9.930,-0.165,1.025,11.275,-0.496,1.489
5738,10.073,-0.244,1.109,8.679,-1.084,-1.481
5788,9.762,-0.093,0.778,10.351,2.389,-3.985
5838,10.112,-0.575,0.917,2.870,1.160,3.206
5889,9.915,-0.534,0.910,-4.115,4.992,1.344
5938,10.179,-0.031,0.996,-3.916,5.015,-2.504
5988,10.531,-0.065,1.339,-3.275,4.534,-5.626
6038,10.181,0.378,0.886,1.847,-3.756,0.954
6088,9.817,-0.038,1.039,12.702,1.504,4.351
6138,10.040,-0.513,0.975,9.176,0.275,2.947
6189,9.604,-0.517,1.365,-2.634,8.679,7.947
6238,10.265,-0.395,1.114,-5.718,4.840,3.794
6288,10.318,-0.508,1.219,-1.916,0.962,-2.298
6338,10.145,-0.182,1.118,-5.870,2.382,-2.481
6388,10.181,-0.084,1.207,-4.023,0.565,-0.870
6438,10.081,-0.445,1.200,-6.550,-1.275,3.763
6489,9.889,-0.393,1.056,-6.275,3.397,-2.924
6538,9.985,-0.386,1.068,-5.412,1.954,-0.870
6588,10.200,-0.527,1.102,-6.832,-1.878,1.748
6638,9.853,-0.187,1.087,-5.099,2.748,-6.649
6688,10.394,-0.584,1.035,-5.084,-1.260,6.031
6738,9.994,-0.364,1.023,-9.099,-4.550,1.031
6789,10.330,-0.620,1.166,-6.344,4.168,-3.802
6838,9.879,-0.419,0.960,-8.336,-3.725,2.740
6888,10.023,-0.326,0.901,-6.794,-1.237,-2.115
6938,9.968,-0.383,1.083,-8.580,1.374,1.573
6988,10.208,-0.419,1.047,-6.519,-0.702,-0.466
7038,10.050,-0.702,1.027,-13.176,-7.084,3.611
7089,10.141,-0.304,0.790,-8.351,-2.534,-0.588
7139,9.918,-0.659,0.680,-12.489,-1.885,2.695
7189,9.958,-0.319,0.829,-10.275,2.656,-4.794
7239,9.978,-0.659,0.678,-2.855,-6.847,-2.168
7289,10.241,-0.304,0.723,-8.359,-9.908,-0.611
7340,10.176,-0.481,0.532,-7.695,-14.489,0.649
7389,9.798,-0.081,0.814,-6.458,-19.397,1.137
7439,10.121,-0.671,0.378,-2.397,-10.534,-8.962
7489,10.325,-0.290,0.616,-6.824,-5.588,2.725
7539,10.224,-0.141,0.625,1.626,-7.557,-8.336
7589,10.121,-0.338,-0.029,-4.756,-11.275,0.641
7640,9.863,-0.426,0.139,-2.916,-12.817,9.092
7689,9.753,-0.649,-0.019,-4.038,-8.366,-4.527
7739,10.457,0.091,-0.077,7.893,-14.580,-7.275
7789,10.138,-0.850,-0.235,-4.107,-17.763,14.931
7839,9.808,0.259,-0.223,4.817,-14.176,-17.527
7889,9.889,-0.560,-0.788,4.924,-16.412,-13.183
7940,10.052,-0.675,-0.903,-7.046,-23.366,-1.931
7989,10.057,-0.347,-0.745,-8.931,-34.893,-5.664
8039,9.889,0.000,-1.018,-8.359,-45.420,-3.061
8089,9.707,0.086,-1.950,-5.611,-56.542,-14.427
8139,9.554,-0.206,-2.345,1.603,-58.687,-14.847
8189,9.367,0.419,-2.685,6.817,-59.420,-20.099
8240,9.381,0.374,-3.537,2.763,-68.214,-22.321
8289,9.408,0.388,-3.765,-4.618,-66.382,-8.473
8339,8.064,0.352,-3.997,-9.229,-66.527,-10.580
8389,9.029,0.208,-4.503,-7.374,-64.664,1.916
8439,8.191,0.278,-5.334,-9.855,-59.435,10.206
8489,7.583,-0.558,-6.706,-4.321,-76.718,12.145
8540,7.173,-0.096,-5.700,-6.847,-76.863,13.824
8590,6.773,0.419,-6.711,-16.466,-68.214,5.267
8640,6.572,0.213,-6.577,-13.061,-58.824,6.802
8690,6.392,0.199,-7.099,-4.557,-54.542,12.374
8740,5.532,0.158,-7.195,-5.672,-48.061,6.763
8791,5.336,0.201,-8.426,-5.435,-45.344,7.107
8840,4.709,-0.091,-7.657,-10.496,-62.374,8.794
8890,4.759,0.043,-8.416,3.313,-53.092,12.863
