time_ms,ax,ay,az,gx,gy,gz
5564,0.216,9.729,0.431,-4.290,0.656,-0.885
5614,0.160,9.750,0.462,-4.794,0.870,-0.672
5664,0.170,9.784,0.453,-3.992,0.695,-0.740
5714,0.156,9.798,0.448,-4.756,0.733,-0.733
5765,0.139,9.788,0.522,-3.427,0.718,-0.763
5814,0.160,9.793,0.527,-4.924,0.863,-0.672
5864,0.156,9.776,0.467,-3.489,0.756,-0.779
5914,0.141,9.726,0.525,-4.145,0.916,-0.695
5964,0.247,9.717,0.467,-2.992,0.710,-0.802
6014,0.125,9.774,0.481,-5.450,0.664,-0.672
6065,0.182,9.781,0.577,-2.473,0.198,-1.000
6115,0.196,9.829,0.426,-2.786,0.656,-0.870
6165,0.148,9.760,0.505,-2.870,0.954,-0.885
6215,0.110,9.760,0.465,-5.183,0.931,-0.664
6265,0.180,9.760,0.534,-5.519,0.908,-0.763
6316,0.180,9.791,0.489,-3.634,0.679,-0.824
6365,0.184,9.803,0.513,-5.092,0.840,-0.748
6415,0.199,9.755,0.510,-4.985,0.695,-0.687
6465,0.196,9.776,0.510,-2.496,0.840,-0.939
6515,0.201,9.810,0.527,-3.374,0.718,-0.885
6565,0.168,9.791,0.529,-3.237,0.885,-0.939
6616,0.187,9.760,0.525,-2.924,0.672,-0.901
6665,0.199,9.791,0.505,-3.382,0.863,-0.832
6715,0.137,9.762,0.419,-4.511,0.740,-0.641
6765,0.194,9.805,0.412,-3.817,0.847,-0.779
6815,0.196,9.810,0.520,-3.954,0.634,-0.763
6865,0.180,9.702,0.577,-3.191,0.771,-1.015
6916,0.184,9.764,0.465,-4.519,0.221,-0.771
6965,0.160,9.693,0.644,-4.069,0.802,-0.611
7015,0.137,9.736,0.448,-3.748,0.733,-0.756
7065,0.213,9.760,0.453,-2.916,0.702,-0.725
7115,0.115,9.709,0.503,-4.595,0.725,-0.580
7165,0.160,9.781,0.417,-3.649,0.893,-0.748
7216,0.242,9.803,0.436,-4.298,0.733,-0.687
7265,0.115,9.748,0.469,-3.931,0.641,-0.794
7315,0.187,9.786,0.489,-3.855,0.702,-0.748
7365,0.218,9.764,0.479,-3.893,0.878,-0.664
7415,0.242,9.774,0.422,-4.763,0.405,-0.786
7465,0.232,9.764,0.548,-3.893,0.855,-0.809
7516,0.172,9.774,0.453,-3.069,0.748,-1.015
7566,0.168,9.800,0.424,-4.198,0.840,-0.664
7616,0.180,9.764,0.496,-4.023,0.855,-0.771
7666,0.132,9.779,0.457,-4.618,0.710,-0.824
7716,0.137,9.812,0.474,-3.092,0.695,-0.863
7767,0.144,9.791,0.321,-4.466,0.771,-0.649
7816,0.184,9.767,0.436,-3.763,0.687,-0.763
7866,0.175,9.800,0.551,-2.634,0.519,-1.038
7916,0.182,9.738,0.316,-4.221,0.809,-0.893
7966,0.103,9.769,0.563,-3.679,0.802,-0.740
8016,0.199,9.750,0.493,-3.313,0.779,-0.702
8067,0.163,9.820,0.462,-4.519,0.702,-0.649
8116,0.160,9.791,0.467,-3.389,0.779,-0.786
8166,0.242,9.786,0.481,-4.015,0.687,-1.023
8216,0.110,9.719,0.481,-4.336,0.649,-0.695
8266,0.120,9.784,0.484,-4.023,0.870,-0.771
8316,0.199,9.836,0.436,-4.282,0.687,-0.832
8367,0.165,9.781,0.465,-3.473,0.656,-0.779
8416,0.235,9.800,0.424,-4.595,0.802,-0.550
8466,0.151,9.764,0.457,-2.733,0.740,-0.954
8516,0.247,9.762,0.498,-5.511,0.855,-0.580
8566,0.194,9.745,0.505,-3.244,0.641,-0.977
8616,0.206,9.764,0.489,-3.847,0.649,-0.802
8667,0.220,9.760,0.515,-3.649,0.863,-0.634
8716,0.153,9.748,0.460,-3.634,0.679,-0.870
8766,0.122,9.832,0.445,-3.603,0.718,-0.718
8816,0.213,9.867,0.412,-4.160,0.779,-0.962
8866,0.120,9.832,0.479,-3.427,0.763,-0.901
8916,0.101,9.757,0.359,-4.824,0.649,-0.832
8966,0.160,9.753,0.465,-4.008,0.748,-0.794
9016,0.211,9.719,0.491,-2.511,0.893,-0.748
9066,0.223,9.817,0.462,-3.939,0.863,-0.794
9116,0.172,9.805,0.455,-4.137,0.687,-0.824
9166,0.242,9.760,0.529,-4.252,0.634,-0.817
9217,0.259,9.867,0.450,-3.221,0.779,-0.878
9266,0.144,9.796,0.386,-4.282,0.748,-0.863
9316,0.163,9.719,0.568,-3.473,0.664,-0.779
9366,0.165,9.786,0.438,-3.687,0.695,-0.740
9419,0.134,9.781,0.395,-3.870,1.008,-0.733
9469,0.160,9.755,0.443,-4.145,0.756,-0.756
9520,0.206,9.767,0.460,-3.901,0.725,-0.710
9569,0.244,9.741,0.422,-4.183,0.725,-0.725
9619,0.192,9.767,0.546,-3.779,0.802,-0.733
9669,0.108,9.760,0.431,-3.344,0.740,-0.840
9719,0.172,9.810,0.354,-3.718,0.733,-0.634
9769,0.213,9.731,0.462,-4.099,0.611,-0.817
9820,0.134,9.779,0.541,-3.870,0.763,-0.702
9869,0.170,9.779,0.520,-3.695,0.809,-0.908
9919,0.156,9.729,0.438,-4.328,0.672,-0.756
9969,0.182,9.781,0.412,-3.740,0.763,-0.878
10019,0.235,9.736,0.522,-3.771,0.672,-0.763
10070,0.132,9.724,0.390,-4.122,0.931,-0.809
10120,0.206,9.769,0.498,-3.733,0.855,-0.786
10169,0.098,9.796,0.501,-4.198,0.756,-0.908
10219,0.204,9.736,0.457,-4.229,0.588,-0.786
10269,0.192,9.767,0.469,-3.641,0.435,-0.809
10319,0.141,9.793,0.460,-3.687,0.870,-0.656
10370,0.117,9.803,0.410,-3.992,0.832,-0.595
10420,0.158,9.764,0.417,-4.084,0.740,-0.702
10470,0.165,9.788,0.474,-4.191,0.718,-0.626
10520,0.158,9.781,0.393,-4.099,0.786,-0.969
10570,0.122,9.769,0.525,-3.832,0.824,-0.832
10620,0.144,9.729,0.388,-3.748,0.130,-0.710
