time_ms,ax,ay,az,gx,gy,gz
5619,0.915,0.496,10.586,-3.809,0.863,-0.847
5669,0.941,0.438,10.512,-3.931,0.718,-0.740
5720,0.956,0.455,10.435,-3.870,0.832,-0.802
5769,0.886,0.441,10.550,-3.656,0.748,-0.687
5819,0.929,0.498,10.627,-3.908,0.840,-0.908
5869,0.948,0.553,10.579,-3.931,0.756,-0.771
5919,0.908,0.448,10.581,-3.779,0.840,-0.893
5969,0.956,0.450,10.521,-3.977,0.672,-0.870
6020,0.956,0.390,10.622,-4.023,0.786,-0.771
6069,0.960,0.477,10.572,-4.015,0.557,-0.794
6119,0.951,0.465,10.564,-3.885,0.557,-0.954
6169,0.951,0.474,10.488,-3.908,0.603,-0.763
6219,0.944,0.433,10.497,-3.893,0.603,-0.718
6269,0.975,0.419,10.512,-3.779,0.672,-0.771
6320,0.908,0.472,10.605,-4.115,0.527,-0.847
6369,0.972,0.445,10.550,-3.916,0.771,-0.779
6419,0.965,0.484,10.490,-3.840,0.687,-0.977
6469,0.946,0.501,10.576,-3.901,0.702,-0.840
6519,1.020,0.546,10.584,-3.947,0.656,-0.885
6569,0.968,0.433,10.538,-3.885,0.931,-0.542
6620,0.934,0.498,10.555,-3.824,0.618,-0.718
6670,0.982,0.505,10.550,-3.855,0.771,-0.565
6720,0.920,0.501,10.612,-3.885,0.824,-0.626
6770,1.008,0.467,10.576,-3.916,0.641,-0.748
6820,1.020,0.465,10.612,-4.023,0.672,-0.817
6871,0.853,0.445,10.550,-3.817,0.634,-0.748
6920,0.970,0.484,10.574,-3.870,0.603,-0.664
6970,0.924,0.453,10.545,-3.908,0.740,-0.870
7020,0.999,0.410,10.615,-3.916,0.733,-0.786
7070,0.999,0.457,10.576,-3.786,0.756,-0.855
7120,0.970,0.448,10.679,-3.878,0.893,-0.855
7171,0.924,0.477,10.488,-3.733,0.634,-0.855
7220,0.958,0.481,10.543,-3.863,0.634,-0.763
7270,0.922,0.474,10.533,-3.824,0.710,-0.832
7320,0.924,0.457,10.505,-3.817,0.718,-0.786
7370,0.956,0.433,10.567,-3.893,0.679,-0.641
7420,1.013,0.424,10.500,-3.702,0.763,-1.023
7471,0.960,0.503,10.596,-3.878,0.580,-0.802
7520,0.922,0.364,10.500,-3.992,0.542,-2.534
7570,0.913,0.489,10.414,-4.008,0.725,-0.756
7620,0.915,0.417,10.550,-3.908,0.863,-0.702
7670,1.008,0.496,10.545,-3.725,0.588,-0.733
7720,0.946,0.419,10.545,-3.817,0.763,-0.550
7771,0.975,0.479,10.529,-4.031,0.710,-0.710
7820,0.982,0.431,10.560,-3.794,0.618,-0.840
7870,0.920,0.491,10.543,-4.015,0.672,-0.931
7920,0.941,0.436,10.476,-3.954,0.855,-0.855
7970,0.992,0.460,10.557,-4.046,0.626,-0.725
8020,0.927,0.450,10.524,-3.756,0.832,-0.809
8070,0.944,0.438,10.552,-3.855,0.901,-0.863
8168,0.934,0.342,10.564,-4.053,0.664,-0.794
8217,0.927,0.525,10.660,-3.840,0.603,-1.084
8267,0.905,0.429,10.629,-3.641,0.756,-0.756
8317,0.987,0.517,10.706,-3.252,0.511,-0.786
8368,0.951,0.496,10.423,-3.878,0.702,-1.015
8417,0.941,0.529,10.512,-3.878,0.695,-0.763
