time_ms,ax,ay,az,gx,gy,gz
5364,10.09,-0.474,0.378,-3.351,-0.061,-1.588
5414,10.057,-0.225,0.271,-3.511,0.351,0.023
5465,10.081,-0.778,0.376,-3.275,0.649,-0.573
5515,10.095,-0.376,0.338,-3.305,0.496,-1.061
5564,10.035,-0.833,0.479,-3.496,-0.206,-1.779
5614,10.088,-0.283,0.359,-3.26,-0.84,-2.466
5664,10.014,-0.546,0.445,-3.664,-0.305,-0.817
5714,10.042,-0.393,0.105,-3.015,-0.443,-0.794
5765,10.052,-0.268,0.242,-3.26,1.954,0.282
5815,10.061,-0.601,0.376,-3.427,2.153,1.061
5865,10.045,-0.525,0.613,-3.275,0.473,-0.916
5915,10.148,-0.735,0.604,-3.573,-1.756,-1.168
5965,9.99,-0.378,0.062,-3.366,-1.863,-2.763
6016,10.078,-0.275,0.151,-3.099,0.588,-0.748
6066,10.059,-0.493,0.16,-3.527,1.687,0.267
6115,10.078,-0.462,0.187,-3.137,3.13,-0.618
6165,10.057,-0.522,0.467,-3.336,2.534,0.458
6215,10.064,-0.642,0.745,-3.397,0.481,-0.763
6265,10.035,-0.601,0.441,-3.26,-0.664,-1.763
6316,10.064,-0.477,0.283,-3.084,-0.969,-1.336
6366,10.004,-0.635,0.366,-3.282,-1.313,-1.229
6415,10.045,-0.606,0.307,-3.244,-0.076,-2.427
6465,10.061,-0.572,0.441,-3.336,-2.0,-3.321
6515,10.124,-0.515,0.594,-3.405,-3.557,-4.611
6565,10.093,-0.563,0.069,-2.924,-4.405,-7.076
6616,10.009,0.204,-0.113,-3.031,1.099,-4.435
6666,10.021,0.316,-0.168,-3.878,1.763,1.74
6715,9.958,-0.163,-0.489,-3.26,7.519,6.015
6765,10.102,-0.695,0.378,-3.229,10.542,6.023
6815,10.107,-0.486,0.527,-3.397,8.137,4.351
6865,9.958,-1.284,1.095,-3.282,3.74,-0.038
6916,10.1,-0.457,1.02,-3.298,-1.115,-3.412
6966,10.078,-0.354,-0.038,-3.42,-2.176,-0.901
7015,10.016,-0.522,-0.038,-3.344,3.145,-0.542
7065,10.081,-0.34,0.85,-3.351,2.061,0.55
7115,10.095,-0.838,0.39,-3.336,-0.489,-0.809
7165,10.081,-0.503,0.335,-3.344,0.779,-2.718
7216,10.066,-0.201,0.484,-3.405,0.481,-0.763
7266,10.109,-0.635,0.287,-3.382,1.145,0.099
7316,9.994,-0.671,0.651,-3.397,1.244,-1.084
7366,10.078,-0.477,0.45,-3.176,-0.023,-1.267
7416,10.085,-0.417,0.319,-3.321,0.702,-1.084
7467,10.085,-0.445,0.431,-3.359,1.084,-0.481
7517,10.09,-0.599,0.493,-3.481,0.786,-0.634
7566,10.045,-0.548,0.522,-3.275,0.687,-1.321
7616,10.083,-0.448,0.46,-3.298,0.473,-0.855
7666,10.152,-0.532,0.414,-3.267,0.939,-0.611
7716,10.035,-0.568,0.491,-3.275,0.901,-0.939
7767,10.018,-0.563,0.486,-3.206,0.489,-0.855
7817,10.04,-0.484,0.383,-3.252,0.649,-1.084
7866,10.078,-0.489,0.505,-3.336,0.855,-0.817
7916,10.04,-0.553,0.467,-3.427,0.893,-0.947
7966,10.023,-0.539,0.505,-3.397,0.45,-0.901
8016,10.081,-0.508,0.412,-3.26,0.87,-0.908
8067,10.117,-0.536,0.4,-3.26,0.87,-0.855
8117,10.038,-0.62,0.51,-3.321,0.802,-1.015
8166,9.987,-0.491,0.704,-3.13,0.435,-2.687
8216,10.148,-0.414,0.177,-3.504,0.374,-2.656
8266,10.191,-0.422,0.599,-3.527,0.191,-1.618
8316,9.958,-1.188,0.819,-3.389,-1.824,5.305
8367,10.023,-0.484,-0.093,-3.695,0.939,-5.229
8417,9.942,-0.798,0.268,-3.382,0.275,1.855
8466,9.966,-1.341,0.644,-3.962,1.687,-2.023
8516,10.227,-1.109,0.611,-3.611,0.817,-10.229
8566,10.107,-0.153,0.742,-4.023,-3.16,-8.534
8616,9.978,0.642,0.496,-3.687,-5.359,-3.809
8667,10.136,-0.443,0.127,-3.015,-4.282,0.038
8716,9.982,0.223,0.256,-3.191,-3.053,2.718
8766,10.081,-0.798,0.405,-4.511,-3.954,3.466
8816,10.069,-0.96,0.053,-0.695,-3.473,-2.55
8866,10.184,-0.002,0.431,15.008,-1.229,-3.565
8916,10.895,-0.117,-0.345,43.206,3.45,-2.26
8967,11.647,0.22,0.436,24.916,9.359,-0.588
9016,11.982,-0.096,0.865,12.786,8.344,0.924
9066,10.653,-0.139,0.826,2.298,5.305,1.939
9116,11.894,-0.041,0.527,50.679,0.344,3.603
9166,12.222,-0.371,0.992,36.695,-1.153,3.046
9217,11.463,-0.939,0.105,15.84,-0.511,-3.626
9267,11.034,-0.211,0.807,54.244,-0.504,-7.183
9316,10.876,-0.479,-0.11,12.282,2.718,-8.046
9366,10.574,-0.723,0.786,45.26,1.794,-11.832
9416,9.702,-1.284,0.687,23.985,1.321,-20.0
9466,8.909,-0.177,1.212,51.038,-8.008,-20.679
9517,8.155,0.331,0.321,3.809,-5.55,-14.489
9567,8.862,0.529,0.467,36.809,-6.214,-2.382
9616,9.377,-0.635,0.081,23.847,3.168,-0.183
9666,10.464,-0.551,0.081,75.366,3.328,-3.878
9716,10.914,-0.798,1.42,44.695,1.977,-12.076
9766,11.213,-1.054,0.647,12.702,-1.191,-19.634
9817,10.691,-0.695,1.217,40.351,-8.374,-25.168
9867,10.672,-0.266,0.915,46.756,-10.954,-26.336
9916,10.684,-0.553,0.0,45.733,-8.786,-26.397
9966,11.625,-0.479,0.266,67.634,-4.244,-26.908
10016,11.508,-0.635,0.163,52.237,-0.008,-29.947
10066,11.748,-0.41,-0.05,71.13,2.702,-32.824
10117,10.945,-0.223,-0.101,59.649,9.26,-31.672
10167,10.742,0.144,-0.56,66.672,19.977,-27.885
10217,10.502,-0.311,-0.316,61.466,28.824,-23.26
10267,10.217,0.295,-0.132,56.031,39.916,-17.198
10317,9.721,0.774,0.089,41.282,47.038,-7.947
10368,9.396,0.398,0.309,45.298,52.321,3.626
10418,8.763,2.385,2.067,-9.71,53.198,26.664
10467,8.189,1.075,1.092,-47.328,43.557,50.389
10517,8.133,-0.946,0.826,-15.656,43.954,57.374
10567,8.744,-1.174,1.157,5.076,40.969,53.176
10617,8.957,-0.965,1.399,42.985,41.237,45.611
10668,8.574,0.081,2.453,15.954,30.214,43.282
10718,8.251,-0.474,2.646,17.183,15.824,44.573
10767,8.684,-1.099,2.218,18.313,6.321,43.916
10817,8.548,-1.142,2.376,15.824,-5.046,36.809
10867,8.476,-1.145,1.892,15.733,-10.595,31.786
10917,8.543,-1.262,2.163,19.977,-16.901,24.107
10968,8.026,-0.613,2.429,0.336,-32.939,21.313
11018,8.742,-1.511,0.989,12.931,-32.359,13.611
11067,9.343,-1.748,1.459,16.969,-29.565,5.603
11117,8.89,-1.267,1.075,20.603,-29.603,-3.565
11167,8.727,-0.922,1.631,11.802,-33.718,-6.786
11217,8.912,-1.356,0.594,27.74,-27.084,-14.298
11268,9.084,-0.929,1.15,33.74,-22.489,-17.275
11318,9.214,-0.553,0.996,41.405,-19.855,-17.702
11367,9.463,-0.307,1.471,22.176,-24.901,-16.847
11417,9.403,-0.632,1.305,46.321,-23.489,-16.87
11467,10.289,-0.742,0.798,26.374,-21.824,-16.206
11517,10.351,-0.261,1.056,34.748,-21.84,-15.885
11568,10.478,-0.012,0.151,34.969,-14.824,-12.351
11618,11.072,-0.333,0.39,30.137,-10.305,-11.885
11668,10.157,-0.381,0.826,30.458,-3.962,-13.198
11718,10.172,-0.024,0.139,22.496,0.412,-10.557
11768,11.053,0.187,0.395,24.527,7.733,-5.771
11819,11.149,0.151,0.137,20.939,10.305,-3.168
11869,11.046,0.034,0.457,16.626,13.855,0.893
11918,10.986,-0.489,0.831,6.122,10.679,1.611
11968,11.106,0.103,0.678,4.817,10.107,2.885
12018,10.696,-0.618,0.419,-0.687,6.588,-0.901
12068,10.069,-0.376,0.314,9.397,8.374,-4.473
12119,10.629,-0.39,0.714,11.908,7.794,-8.649
12169,10.133,0.117,0.766,5.817,4.855,-7.466
12218,10.133,0.12,0.86,9.641,1.153,-5.656
12268,10.339,0.259,0.886,-5.229,-0.725,-3.198
12318,10.157,-0.16,0.836,1.0,-2.519,-2.359
12368,10.033,-0.235,0.788,-14.489,-4.618,-2.947
12419,9.896,-0.153,0.52,1.855,-2.656,-2.87
12469,10.105,-0.268,0.771,-5.748,-4.611,-4.55
12518,9.75,-0.105,0.546,-4.84,-1.809,-3.069
12568,9.788,-0.105,0.685,-3.275,-0.725,-2.473
12618,9.693,-0.081,1.018,-4.405,-2.511,-1.771
12668,9.623,-0.038,0.771,-8.412,-4.252,0.061
12719,9.932,-0.213,1.106,-11.885,-6.634,-0.084
12769,10.057,-0.24,0.707,-9.29,-8.595,-2.237
12818,9.709,-0.151,0.383,-6.313,-6.611,-3.786
12868,9.839,-0.354,0.345,0.489,-3.13,-5.427
12918,9.494,-0.45,0.323,6.45,1.824,-5.725
12968,10.04,-0.069,0.711,9.481,3.603,-4.099
13019,10.33,-0.024,0.872,-0.466,2.458,-2.786
13068,10.196,0.074,0.85,1.74,0.45,-1.672
