time_ms,ax,ay,az,gx,gy,gz
62,10.229,0.613,0.699,-2.756,2.756,0.573
112,10.004,-0.441,0.814,-3.763,1.588,1.87
162,10.107,-0.4,0.63,-3.443,-0.679,0.099
212,10.121,-0.577,1.145,-3.542,1.168,-2.313
263,10.105,-0.223,0.941,-3.282,-0.389,-3.687
312,10.09,-0.122,0.702,-3.244,-0.122,-2.626
362,10.081,-0.127,1.051,-3.328,0.397,-1.672
412,10.045,-0.194,0.572,-3.237,-0.053,-0.282
462,10.04,-0.259,0.776,-3.313,1.595,-0.405
513,10.105,-0.283,0.956,-3.122,1.076,-0.534
563,10.064,-0.304,0.898,-3.359,0.84,-0.611
612,10.131,-0.28,0.867,-3.443,0.389,-0.969
662,10.078,-0.481,1.051,-3.374,1.061,-1.573
712,10.16,-0.163,0.565,-3.191,0.71,-1.015
762,10.114,-0.165,0.96,-3.328,0.015,-1.084
813,10.097,-0.45,0.766,-3.374,0.122,-1.244
863,10.138,-0.144,0.771,-3.382,0.695,-1.153
912,9.994,-0.24,1.015,-3.26,1.496,-0.855
962,10.006,-0.213,0.927,-3.115,1.748,-0.504
1012,9.994,-0.364,0.798,-3.237,0.443,-0.328
1062,9.997,-0.331,0.774,-3.412,1.031,-1.015
1113,10.081,-0.347,0.874,-3.435,-0.115,-0.954
1163,10.243,-0.376,1.49,-3.221,0.0,-1.305
1212,10.172,-0.156,0.905,-3.412,1.198,-1.664
1262,10.095,-0.259,0.426,-3.42,2.191,0.168
1312,10.129,-0.309,1.071,-3.382,1.771,0.344
1362,10.105,-0.237,0.963,-3.191,1.473,0.534
1413,10.143,-0.546,0.79,-3.527,0.305,0.214
1463,10.028,-0.589,0.886,-3.351,3.458,-0.969
1513,10.04,-0.251,1.31,-3.282,-0.55,-0.794
1563,10.117,-0.577,0.014,-3.588,-0.756,-1.344
1613,10.03,0.014,0.953,-3.26,0.069,-1.756
1664,10.081,-0.24,1.049,-3.168,1.748,-1.397
1714,9.947,-0.467,1.135,-3.412,-0.206,-0.443
1763,10.076,-0.35,0.484,-3.145,1.794,-0.275
1813,10.061,-0.22,1.042,-3.565,1.168,0.084
1863,10.071,-0.39,0.778,-3.344,-0.053,-0.328
1913,10.088,-0.378,0.752,-3.267,0.962,-0.534
1964,10.057,-0.316,1.068,-3.542,0.901,-1.672
2014,10.152,-0.35,0.833,-3.244,0.45,-1.931
2063,10.1,-0.34,1.056,-2.931,0.023,-1.924
2113,10.136,-0.448,0.589,-3.16,0.534,-1.45
2163,10.105,-0.285,0.752,-3.435,1.344,-1.374
2213,10.05,-0.24,0.886,-3.443,0.863,-0.45
2264,10.061,-0.4,0.726,-3.366,1.107,-0.137
2314,10.078,-0.251,0.917,-3.26,2.031,-0.458
2363,10.042,-0.35,0.98,-3.435,1.489,-0.641
2413,10.054,-0.285,0.886,-3.252,1.366,-0.588
2463,10.078,-0.254,0.987,-3.351,1.092,-0.511
2513,10.129,-0.592,0.833,-3.435,1.153,-0.511
2564,10.109,-0.292,0.944,-3.221,1.435,-1.099
2614,10.088,-0.328,0.989,-3.443,-0.015,-1.023
2663,10.081,-0.333,0.738,-3.275,0.435,-1.382
2713,10.014,-0.376,0.944,-3.252,1.977,-1.473
2763,10.03,-0.247,0.929,-3.252,1.656,-0.84
2813,10.076,-0.244,1.037,-3.336,0.832,-0.061
2864,10.164,-0.51,0.838,-3.366,1.008,-0.321
2914,10.002,-0.374,0.843,-3.389,1.618,-0.863
2964,10.093,-0.443,1.032,-3.374,1.389,-1.023
3014,10.066,-0.386,0.862,-3.351,1.649,-1.168
3064,9.99,-0.297,0.92,-3.275,1.565,-0.763
3115,10.071,-0.34,0.908,-3.313,1.29,-0.71
3165,10.064,-0.362,0.951,-3.237,1.015,-0.328
3214,10.102,-0.407,0.838,-3.389,1.336,-0.626
3264,10.064,-0.307,1.02,-3.298,0.977,-0.779
3314,10.093,-0.247,0.98,-3.275,1.832,-1.137
3364,10.088,-0.321,0.939,-3.069,0.954,-0.679
3415,10.081,-0.453,1.073,-3.26,1.405,-0.443
