time_ms,ax,ay,az,gx,gy,gz
61,10.112,-0.764,0.321,-3.206,1.038,-2.061
111,10.109,-0.613,0.393,-3.504,2.595,-1.595
161,10.064,-0.675,0.69,-3.282,1.702,-1.214
211,10.064,-0.649,0.639,-3.183,0.008,-0.962
262,10.076,-0.596,0.35,-3.328,-0.229,-0.137
311,10.009,-0.826,0.371,-3.26,0.42,-0.397
361,10.05,-0.776,0.374,-3.115,1.153,-1.305
411,9.975,-0.642,0.443,-3.412,1.534,-1.344
461,10.023,-0.644,0.604,-3.229,1.168,-0.947
512,10.093,-0.8,0.635,-3.374,-1.061,0.099
562,10.071,-0.817,0.235,-3.573,-0.298,-1.115
684,10.112,-0.522,0.371,-3.313,-0.221,0.031
733,9.923,-0.613,0.213,-2.969,1.069,0.305
783,9.879,-1.878,1.399,-4.626,1.573,-2.359
832,10.148,-0.371,-0.031,-3.466,1.0,-1.969
882,10.059,-0.807,0.278,-3.221,1.427,-1.519
932,10.064,-0.484,0.762,-3.252,0.908,-0.55
984,10.052,-0.769,0.388,-3.473,-1.145,0.885
1033,10.085,-0.802,0.366,-3.29,-0.397,0.618
1082,10.033,-0.793,0.627,-3.351,-1.008,-0.481
1132,9.999,-0.762,0.11,-3.267,-0.595,-1.504
1183,10.059,-0.527,-0.086,-3.298,2.496,-2.588
1232,10.088,-0.565,0.869,-3.26,1.0,-0.809
1283,10.097,-0.857,0.074,-3.466,-1.076,-1.702
1334,10.085,-0.553,0.896,-3.008,0.511,-0.366
1383,10.004,-0.776,0.06,-3.557,-2.061,0.565
1432,10.028,-0.922,0.417,-3.42,-0.71,-1.061
1483,9.937,-0.719,0.489,-3.359,0.015,-2.099
1533,9.994,-0.704,0.242,-3.099,-0.954,-2.863
1583,10.026,-0.508,0.364,-3.496,-1.069,-1.031
1633,10.054,-0.486,0.63,-3.45,-2.588,1.069
1684,10.006,-0.901,-0.079,-3.45,-1.244,0.122
1733,10.497,-1.473,-1.296,-1.305,3.542,-3.626
1784,10.651,1.784,5.916,-4.802,-1.595,-7.412
1835,10.136,-0.228,-0.438,-4.458,2.275,3.382
1884,9.913,-2.014,-0.177,-3.229,5.053,-0.382
1933,9.966,-0.929,0.079,-2.496,8.588,-8.489
1984,10.04,-0.927,1.885,-3.191,2.672,-6.573
2034,10.172,0.342,0.474,-3.076,-5.924,-5.809
2084,9.97,-0.781,-0.553,-3.74,-2.099,0.687
2135,10.117,-0.17,0.86,-2.847,2.893,-0.885
2185,9.994,-1.595,0.927,-3.16,-5.557,-1.595
2234,10.03,0.218,-0.23,-2.74,-3.42,-3.443
2284,10.05,-0.225,0.208,-3.344,-0.626,3.542
2334,10.136,-0.766,0.06,-3.504,2.267,3.763
2383,9.966,-1.48,0.46,-3.641,4.473,-1.282
2435,10.145,-1.104,0.062,-3.046,4.351,-6.298
2484,10.042,-0.546,0.216,-3.595,4.916,-5.878
2534,10.179,-0.22,0.249,-3.573,6.74,-4.985
2584,10.131,-0.577,0.232,-3.458,8.412,-3.832
2633,9.908,0.441,1.255,-2.893,8.191,0.412
2683,9.987,-0.582,1.811,-3.519,4.458,8.336
2735,9.896,-1.54,1.976,-2.878,-9.412,2.977
2785,10.232,-1.677,-0.182,-2.565,-11.496,-8.298
2833,10.114,-0.362,-0.637,-3.954,-1.229,-8.473
2884,9.992,0.024,-0.532,-3.802,5.504,-3.099
2933,10.227,0.359,0.139,-2.374,12.191,-2.786
2983,10.27,-0.786,-0.273,-3.412,17.985,3.16
3035,11.57,-0.862,0.742,0.87,21.687,-1.908
3083,10.852,-0.534,1.085,38.29,17.695,-3.664
3134,9.899,-0.769,2.457,124.153,4.053,-12.672
3183,7.326,0.062,1.099,117.153,-10.794,-6.489
3233,8.239,-1.095,0.431,-19.725,-11.794,-1.397
3283,8.806,0.496,0.278,-125.886,-0.427,1.847
3335,7.12,-1.746,-0.996,3.389,-7.397,4.885
3383,11.281,-0.944,0.354,4.038,-3.672,0.191
3433,9.377,-0.029,1.629,-3.542,-4.954,0.519
3483,10.179,-0.616,0.342,-4.481,-5.122,2.153
3533,9.784,0.704,1.138,-3.214,-5.947,4.443
3585,9.982,0.721,0.884,-4.504,-6.412,12.771
3634,10.44,-0.702,0.29,-2.496,-5.389,14.779
3683,10.117,-1.751,0.156,-3.87,-1.069,-3.802
3733,10.009,-0.374,-0.115,-3.092,0.664,-5.725
3784,9.932,0.096,0.491,-3.237,4.168,-0.031
3833,10.117,-0.211,0.781,-3.672,0.252,6.565
3884,10.085,-2.524,-0.086,-3.832,5.13,-2.031
3934,9.896,0.491,2.158,-2.588,-6.0,-9.275
3983,10.191,-0.654,0.402,-5.275,-12.214,-0.771
4033,9.997,-1.183,-1.174,-4.015,-4.008,-9.137
4084,9.93,0.314,0.663,-4.008,2.282,-5.275
4134,10.052,0.335,0.644,-2.992,-0.832,-0.802
4185,10.136,-0.805,0.12,-3.427,0.115,2.916
4235,10.004,-0.465,-0.199,-3.756,1.634,1.214
4284,10.315,-0.908,0.141,-2.969,7.336,-3.45
4334,10.076,-0.077,0.666,-3.42,6.137,0.756
4384,10.138,-0.587,0.886,-2.916,-0.634,-2.962
4433,10.04,-0.354,0.314,-3.305,-1.122,-0.504
4485,10.069,-0.508,0.536,-2.611,-1.55,-2.267
4535,10.073,-0.594,-0.548,-3.053,-0.496,-0.267
4584,10.071,-0.319,0.213,-3.687,4.87,-1.374
4634,10.097,-0.16,0.328,-3.084,4.58,3.214
4684,10.22,-1.116,-0.022,-2.466,6.321,1.763
4734,9.973,-0.541,1.128,-3.282,3.008,0.153
4786,9.963,-0.905,0.91,-3.214,4.42,-0.542
4835,10.097,-0.177,1.073,-3.534,-2.847,5.679
4884,10.023,-1.109,-0.034,-3.191,-1.618,4.595
4934,10.052,-1.315,0.081,-3.183,3.359,-1.206
4985,10.054,-0.826,0.97,-3.214,3.244,-5.55
5035,10.045,-0.141,0.958,-3.351,-1.107,-3.954
5085,10.181,-0.115,0.194,-3.443,-1.046,0.573
5135,10.059,-0.63,0.242,-3.229,2.427,2.664
5185,10.061,-0.984,0.824,-3.191,2.153,0.466
5234,10.097,-0.905,0.793,-3.321,-0.611,-2.603
5285,10.076,-0.469,0.359,-3.397,-0.031,-3.122
5335,9.949,0.568,0.266,-2.847,9.939,2.779
5385,9.978,-1.684,2.127,-3.328,-7.191,4.0
5435,10.006,-1.145,-0.35,-3.588,-5.321,1.649
5485,9.939,-1.437,-0.326,-3.176,1.809,-6.626
5535,10.16,-0.244,0.424,-3.405,6.305,-6.29
5585,10.081,-0.889,1.09,-3.267,4.626,-6.229
5635,9.963,0.692,1.437,-3.435,-2.656,-2.122
5685,10.222,-0.079,-0.081,-3.198,-3.786,6.672
5735,10.009,-1.255,-0.019,-3.366,3.115,5.641
5784,10.009,-1.574,0.963,-3.115,4.336,-1.71
5835,10.004,-0.877,1.13,-3.321,-0.534,-7.107
5884,10.009,-0.029,0.342,-3.237,-2.153,-4.908
5935,10.038,0.007,0.065,-3.573,1.916,1.13
5986,10.09,-0.695,0.759,-3.412,2.969,3.71
6036,10.145,-3.353,-1.444,-1.588,3.985,-2.405
6086,9.949,-1.277,0.63,-3.511,2.756,-6.015
6135,9.923,0.096,1.126,-2.901,5.84,-10.969
6187,9.97,0.249,0.946,-3.145,0.145,-2.359
6237,10.095,-1.229,1.083,-3.328,-4.435,-6.573
6286,10.253,-0.525,-0.328,-0.015,2.511,-10.611
6335,11.008,-0.893,-1.051,22.107,10.618,-17.947
6385,11.434,0.014,-0.242,97.634,26.328,-19.534
6435,10.239,0.328,1.114,118.198,24.656,-17.427
6486,11.822,-1.181,1.734,65.626,14.802,-22.099
6537,12.195,0.659,2.294,0.42,2.176,-26.176
6585,12.025,0.34,1.449,-5.214,-8.244,-16.588
6635,11.982,1.336,1.995,14.496,-18.908,-3.069
6685,13.019,-0.153,0.812,12.176,-25.023,4.13
6736,11.484,0.101,0.525,17.855,-21.656,2.977
6786,11.489,0.536,0.968,36.733,-19.046,7.031
6837,12.322,-0.352,1.274,5.618,-19.214,5.786
6885,12.114,-0.62,0.175,-24.87,-18.931,-2.298
6935,11.578,-0.34,-0.069,9.069,-10.214,-7.542
6986,11.594,-1.317,-0.525,41.244,1.84,-21.458
7035,11.034,-0.853,-0.048,43.786,8.183,-35.45
7087,10.346,1.229,-0.316,47.229,21.985,-37.282
7136,10.617,-0.074,-0.776,31.015,31.29,-31.58
7186,9.774,1.284,0.467,1.214,44.359,-27.985
7235,10.052,0.685,0.39,-0.786,44.84,-22.122
7285,8.517,2.144,1.744,15.275,39.26,-4.382
7335,7.334,0.862,1.748,-32.374,23.916,11.618
7387,6.917,0.223,0.666,-42.527,18.817,17.87
7435,7.044,0.137,-0.053,26.687,20.771,18.679
7486,6.725,1.162,1.473,24.038,20.298,26.763
7535,7.298,1.32,1.803,31.229,10.626,39.58
7586,7.24,0.548,1.763,15.16,0.229,48.366
7636,6.668,0.16,3.171,34.794,-19.687,50.611
7686,7.472,-1.133,0.053,3.817,-21.328,43.244
7735,8.124,-0.311,-0.311,50.397,-8.794,32.359
7785,8.9,-1.827,-0.002,59.817,8.55,19.13
7835,8.806,-0.903,1.435,56.443,8.939,-1.084
7885,9.132,0.304,1.449,41.13,1.29,-4.885
7936,9.07,0.333,1.229,-1.58,-3.527,-1.855
7986,9.329,0.06,1.008,32.664,-6.824,0.069
8036,8.672,-0.45,1.03,0.443,-10.496,-7.527
8085,9.029,1.083,0.735,5.618,-8.198,-3.809
8135,9.606,-0.374,1.492,-38.687,-12.229,-4.229
8186,9.594,1.217,0.75,7.55,-11.374,4.542
8237,9.913,0.019,1.099,-5.565,-14.237,6.237
8287,11.003,0.807,0.031,21.855,-7.611,7.435
8335,10.955,0.819,0.122,47.198,1.58,11.626
8385,11.803,-1.095,1.392,64.321,4.0,9.26
8436,11.654,0.196,1.265,24.695,-1.115,-7.611
8486,10.311,0.098,1.54,31.099,-5.893,-10.672
8537,10.325,1.581,0.812,7.145,-7.137,-3.878
8587,10.203,0.491,1.078,-3.863,-8.847,-0.534
8636,10.49,-0.194,0.999,24.168,-9.328,3.855
8686,10.591,0.599,1.772,6.221,-13.122,-4.641
8735,10.37,-0.565,0.448,-7.878,-15.908,-11.046
