time_ms,ax,ay,az,gx,gy,gz
62,10.073,-0.369,1.068,-3.374,-3.061,-3.649
112,10.081,0.153,0.218,-3.397,0.229,-2.023
162,10.069,-0.168,0.881,-3.298,2.656,1.26
212,10.114,-0.661,1.097,-3.374,0.183,-0.664
263,10.071,-0.189,0.666,-3.198,-0.183,-2.718
312,10.066,0.084,0.654,-3.42,1.122,-0.443
362,10.059,-0.489,0.893,-3.374,1.344,-0.099
412,10.117,-0.345,0.994,-3.168,0.313,-1.87
462,10.021,-0.113,0.733,-3.336,0.435,-1.168
513,10.1,-0.247,0.762,-3.305,1.382,-0.366
563,10.018,-0.34,0.92,-3.237,0.466,-1.031
612,10.105,-0.187,0.798,-3.427,0.519,-1.29
662,10.157,-0.213,0.783,-3.359,0.924,-0.634
712,10.093,-0.347,0.932,-3.489,0.687,-0.786
762,10.064,-0.299,0.843,-3.282,0.45,-1.137
813,10.141,-0.254,0.788,-3.244,0.817,-0.84
863,10.129,-0.266,0.86,-3.282,0.954,-0.702
912,10.047,-0.256,0.831,-3.359,0.748,-1.122
962,10.047,-0.273,0.838,-3.305,0.748,-1.0
1012,10.093,-0.251,0.793,-3.305,0.901,-0.763
1062,10.016,-0.299,0.96,-3.351,0.756,-1.053
1113,10.052,-0.259,0.805,-3.313,0.771,-1.0
1163,10.1,-0.271,0.829,-3.382,0.763,-1.053
1212,10.09,-0.319,0.841,-3.466,0.771,-1.107
1262,10.061,-0.29,0.838,-3.298,0.634,-0.924
1312,10.119,-0.23,0.824,-3.389,0.855,-0.893
1362,10.114,-0.278,0.838,-3.321,0.603,-0.992
1413,10.117,-0.273,0.759,-3.221,0.725,-1.053
1463,10.093,-0.251,0.774,-3.198,0.763,-0.824
1513,10.124,-0.283,0.829,-3.183,0.863,-0.954
1563,10.088,-0.266,0.79,-3.267,0.725,-0.939
1613,10.028,-0.29,0.869,-3.221,0.542,-1.298
1664,10.16,-0.172,0.697,-3.298,0.481,-1.359
1714,10.076,-0.244,0.802,-3.176,1.466,0.076
1763,9.973,-2.527,4.091,-4.878,-0.29,-1.939
1813,9.99,-0.199,0.843,-3.115,-0.878,-2.74
1863,10.064,0.163,-0.196,-3.947,1.695,0.481
1913,10.102,-0.992,0.764,-3.237,-0.221,0.038
1964,10.136,-0.187,0.618,-3.351,-0.069,-2.71
2014,10.095,-0.074,0.75,-3.229,1.321,-1.046
2063,10.107,-0.091,0.764,-3.29,2.214,0.038
2113,10.066,-0.249,0.776,-3.275,1.16,-0.344
2163,10.16,-0.855,0.869,-3.374,2.122,-1.397
2213,10.04,-0.065,0.913,-3.282,-0.26,-1.603
2264,10.117,-0.254,0.826,-3.237,-0.344,-1.878
2314,10.052,-0.175,0.855,-3.214,0.397,-1.435
2363,10.071,-0.127,0.903,-3.29,-0.366,-1.122
2413,10.109,-0.496,0.877,-3.374,-0.718,-1.878
2463,9.987,0.508,1.779,-3.679,4.008,2.176
2513,10.093,0.062,0.893,-3.427,-0.863,-2.863
2564,10.114,0.11,0.369,-3.305,0.878,-2.786
2614,10.102,-0.441,1.442,-3.405,2.061,0.389
2663,10.083,-0.029,0.695,-3.313,0.771,0.008
2713,10.081,-0.364,0.757,-3.542,1.496,-1.466
2763,10.121,-0.539,0.884,-3.244,1.603,-1.763
2813,10.054,-0.144,1.102,-3.298,-0.427,-3.359
2864,10.011,-0.005,0.63,-2.962,1.26,-2.443
2914,9.975,0.098,0.944,-3.382,-0.458,-3.443
2964,10.016,-0.213,0.766,-3.137,0.74,-3.473
3014,9.999,0.184,0.807,-3.405,0.45,-2.809
3064,10.045,0.108,0.692,-3.351,2.16,-1.092
3115,10.069,-0.192,0.889,-3.351,2.458,0.176
3165,10.023,-0.46,1.006,-3.443,1.176,-0.542
3214,9.99,-0.031,0.726,-3.427,1.382,-2.076
3264,10.167,-0.108,1.19,-3.244,0.176,-4.489
3314,10.162,-0.127,0.874,-3.26,-0.87,-3.519
3364,10.157,-0.228,0.572,-3.198,-0.244,-3.397
3415,10.121,-0.208,0.75,-3.092,-0.443,-5.863
3465,10.076,0.256,0.678,-3.527,-0.55,-6.252
3514,9.927,0.273,1.066,-3.145,0.71,-1.176
3564,10.169,0.137,1.238,-3.557,0.458,1.282
3614,10.069,0.577,0.702,-2.939,-4.107,9.382
3664,10.038,0.117,-0.924,-2.756,2.802,11.305
3715,10.272,0.419,0.798,-3.214,11.565,11.473
3765,9.966,-1.887,2.249,-3.321,3.221,6.824
3814,10.093,-0.493,0.402,-2.985,0.076,-6.191
3864,10.052,-0.536,2.048,-3.214,-0.336,-6.366
