time_ms,ax,ay,az,gx,gy,gz
59,9.985,-0.01,1.245,-3.26,1.336,-1.344
109,9.118,0.34,1.499,-3.229,-0.313,-0.603
159,10.361,-0.35,0.987,-3.382,0.344,-0.947
209,10.05,-0.189,1.403,-3.137,3.649,-1.756
260,10.071,-0.091,1.317,-3.153,-0.656,-0.756
309,10.064,0.019,1.073,-3.16,3.237,-1.878
359,10.117,-0.201,1.535,-3.29,-2.053,-0.519
409,10.114,-0.069,1.071,-3.328,-0.908,-0.55
459,10.054,-0.053,1.02,-3.573,1.756,-1.237
509,10.052,0.057,1.516,-3.351,1.908,-1.214
560,10.064,0.12,1.473,-3.374,-0.053,-0.672
609,10.061,-0.086,1.217,-3.305,0.053,-0.71
659,10.093,-0.026,1.245,-3.313,1.244,-1.046
709,10.064,0.0,1.442,-3.313,1.16,-1.168
759,10.014,-0.002,1.461,-3.176,0.206,-0.84
809,10.061,-0.108,1.209,-3.16,0.55,-0.893
860,10.021,0.053,1.387,-3.313,1.061,-1.115
909,10.095,0.034,1.399,-3.137,0.649,-0.947
959,10.054,-0.024,1.324,-3.16,0.427,-0.962
1009,10.054,-0.046,1.308,-3.206,0.908,-1.069
1059,10.088,0.029,1.281,-3.359,0.924,-1.053
1110,10.052,0.057,1.324,-3.45,0.603,-0.962
1160,10.076,-0.041,1.339,-3.252,0.809,-0.84
1209,10.047,0.019,1.38,-3.542,0.794,-0.939
1259,10.054,-0.031,1.312,-3.26,0.71,-0.847
1309,10.038,0.031,1.346,-3.267,0.687,-1.115
1359,10.014,0.007,1.296,-3.344,0.885,-1.0
1410,10.026,0.048,1.353,-3.275,0.763,-0.863
1460,10.038,-0.01,1.31,-3.206,0.809,-0.779
1510,10.028,0.019,1.365,-3.298,0.779,-0.87
1560,10.035,0.041,1.356,-3.244,0.519,-0.977
1610,10.061,0.022,1.372,-3.191,0.802,-0.931
1660,10.04,-0.01,1.372,-3.221,0.809,-1.015
1711,10.061,0.022,1.365,-3.229,0.809,-0.885
1760,10.04,0.0,1.43,-3.473,0.878,-0.878
1810,10.028,0.017,1.336,-3.252,0.71,-0.931
1860,10.272,-0.893,5.528,1.031,4.87,-1.092
1910,10.002,1.65,0.687,-4.84,0.389,-0.809
1960,9.949,-0.089,1.085,-3.397,-1.061,-0.763
2011,10.351,0.86,1.31,-2.038,3.427,-1.786
2060,10.129,0.345,1.621,-3.397,0.962,-1.031
