time_ms,ax,ay,az,gx,gy,gz
5465,10.028,-0.206,0.735,-15.13,2.145,-3.878
5514,10.09,-0.292,1.116,-3.237,-1.389,-0.725
5564,10.09,0.357,0.905,6.924,-1.954,1.29
5614,10.004,-0.673,0.398,-5.977,0.748,0.542
5664,10.126,0.029,0.644,-5.924,2.496,1.542
5714,10.164,-0.491,-0.168,17.763,-0.855,-1.588
5765,10.038,-0.426,0.532,31.267,1.084,-4.855
5814,10.16,-0.216,1.164,-7.153,4.359,1.45
5864,10.121,-0.232,1.102,-3.74,0.359,-0.099
5914,10.148,-0.304,0.884,-3.305,-2.557,-1.947
5964,10.088,-0.608,0.532,-6.893,-3.473,-1.366
6014,10.112,-0.101,0.457,-5.756,1.206,-1.855
6065,10.148,-0.402,0.901,0.649,-0.466,1.756
6115,10.131,-0.596,1.152,2.672,-3.992,-3.405
6165,10.105,-0.031,-0.05,-14.298,-0.87,-1.855
6215,10.069,-0.331,0.608,2.366,0.603,-0.672
6265,10.042,-0.398,0.431,-4.183,2.0,-2.618
6316,10.121,-0.522,0.41,-1.137,2.145,-1.931
6365,10.097,-0.048,0.625,-3.802,2.099,-2.145
6415,10.148,-0.275,0.455,-3.0,3.038,0.794
6465,10.117,0.189,0.069,0.275,7.023,0.58
6515,10.169,-0.429,0.479,34.649,7.084,4.527
6565,9.963,-0.884,0.34,69.389,4.069,-0.092
6616,10.232,-0.824,0.079,70.718,2.595,-8.656
6665,10.433,0.56,1.645,42.023,6.55,-5.947
6715,10.44,0.623,1.554,13.214,-0.809,-6.053
6765,9.913,1.049,1.233,-5.443,-10.977,0.42
6815,10.126,0.055,0.889,-0.977,-12.962,5.542
6865,11.185,-0.295,-1.609,-3.763,-4.565,-11.405
6916,10.011,1.748,0.769,-3.267,6.656,2.328
6965,9.532,-2.802,0.218,-2.29,3.802,5.802
7015,10.097,0.915,1.547,-2.962,2.962,-6.466
7065,10.526,-0.98,0.877,-3.458,-4.771,4.336
7115,10.114,0.719,0.342,-3.145,-2.534,-6.29
7165,10.275,0.055,-0.481,-3.191,3.015,3.076
7216,10.05,-0.012,1.207,-2.939,6.015,-1.298
7265,10.045,-0.893,0.898,-3.153,0.71,-0.847
7315,10.018,-0.17,0.994,-3.191,-3.489,-1.718
7365,9.987,0.084,-0.263,-3.336,-0.679,-2.863
7450,10.148,-0.041,1.166,-3.13,3.16,-1.053
7499,10.114,-0.867,0.903,-3.176,-0.985,-2.29
7550,10.035,-0.407,-0.101,-3.176,-1.794,-1.374
7600,10.023,0.077,0.565,-3.321,3.252,0.878
7649,10.188,-0.014,1.14,-3.145,1.45,-1.458
7699,10.126,-0.321,0.747,-3.275,-1.45,-1.885
7749,10.176,-0.122,0.069,-3.29,1.527,-1.374
7799,9.908,-0.484,0.788,-3.053,2.397,-0.527
7849,10.16,-0.407,0.872,-3.191,-0.489,-1.031
7900,10.246,-0.237,0.213,-3.191,-0.733,-0.45
7951,10.038,-0.113,0.642,-3.107,1.977,-0.076
8000,12.157,-19.62,9.027,-50.618,-22.702,-33.687
8050,9.544,3.133,0.134,-2.008,-10.122,-33.366
8100,9.709,2.532,-0.683,1.595,-19.397,-6.542
8151,9.568,1.209,-1.514,5.374,-9.802,10.084
8200,10.03,-0.081,-0.038,13.137,1.282,13.687
8250,11.803,-0.783,0.156,61.71,4.031,-1.679
8300,12.243,-0.508,1.882,-3.603,-1.702,-16.359
8350,12.203,-0.534,1.717,-11.718,-22.878,-31.939
8400,11.738,0.247,1.475,-1.183,-39.061,-46.832
8451,10.689,1.981,0.841,-53.527,-51.473,-37.802
8500,9.987,1.926,-1.061,-46.71,-48.0,-25.588
8550,9.345,2.203,-2.529,-48.649,-29.145,-7.695
8600,9.3,1.832,-1.552,-11.573,-8.779,-1.45
8650,8.72,1.7,-1.562,-26.992,2.817,8.153
8700,8.9,1.739,-1.574,-33.076,13.053,13.519
8751,8.569,0.843,-1.562,-44.42,21.046,15.389
8800,9.056,1.478,-0.225,-27.527,20.115,12.489
8850,9.623,1.219,-1.164,-39.489,0.504,3.412
8900,9.173,1.248,-0.735,-50.435,7.244,12.382
8950,9.626,1.269,-0.805,-29.466,6.519,7.794
9000,9.753,1.095,-0.75,-28.145,4.336,4.473
9051,9.614,1.494,-0.606,-26.0,3.321,2.908
9100,9.673,1.348,-0.651,-21.489,4.153,3.878
9153,9.616,1.387,-0.893,-24.496,7.328,7.267
9203,10.085,1.198,-0.953,-11.977,12.336,7.206
9253,10.193,0.869,-0.625,-3.313,15.313,5.031
9304,9.97,0.91,-0.105,-2.427,14.145,2.214
9353,10.155,1.035,-0.093,-7.641,9.115,2.237
9403,9.858,1.291,0.093,-16.229,3.87,5.481
9453,10.117,0.817,1.423,-16.542,4.534,6.13
9503,9.784,1.214,0.548,-10.916,3.0,5.824
9553,9.834,0.448,-0.86,8.313,9.443,1.183
9604,9.604,1.526,0.618,-1.649,6.153,4.008
9653,9.944,0.999,-0.125,-15.031,-3.069,7.252
9703,10.064,0.572,-0.314,-2.664,-3.206,4.794
9753,10.399,1.214,0.556,-6.42,-9.29,4.634
9803,9.925,0.836,-0.383,-24.664,-15.206,7.137
9853,10.493,0.52,-0.11,-29.901,-14.649,4.962
9904,10.009,-0.122,-0.647,1.29,-8.847,-2.832
9953,9.951,0.513,-0.084,-0.985,-3.931,-8.275
10003,9.499,0.879,-0.18,-14.26,-1.901,-6.069
10053,10.351,0.707,-0.891,-33.519,6.969,-0.786
10103,10.418,0.994,0.592,0.458,16.412,2.267
10153,8.55,-0.005,-1.76,-14.664,17.214,5.794
10204,10.909,2.062,1.006,102.076,17.298,-0.26
10253,11.118,0.431,1.657,-13.443,12.855,22.397
10303,10.888,0.333,1.712,-26.298,0.969,26.55
10353,9.97,-1.415,0.68,-61.573,-17.412,24.031
10403,10.744,-0.326,0.213,-45.656,-15.695,16.084
10454,11.206,-0.345,0.968,26.756,-16.656,9.42
10504,9.714,0.244,-1.128,175.084,-26.443,6.809
10553,10.414,0.333,-2.021,113.557,6.748,22.771
10603,9.57,-1.308,-0.51,42.282,23.412,15.542
