time_ms,ax,ay,az,gx,gy,gz
59,10.069,-0.299,1.207,-3.351,1.298,-0.26
109,10.018,-0.347,1.274,-3.298,1.74,0.328
159,9.992,-0.438,1.38,-3.397,1.618,-0.16
209,10.009,-0.395,1.521,-3.382,0.809,-0.557
260,9.98,-0.551,1.095,-3.267,0.214,-1.511
309,10.109,-0.263,1.272,-3.26,0.87,-1.038
359,10.073,-0.496,1.418,-3.244,0.298,-1.305
409,10.066,-0.309,1.032,-3.107,-0.534,-1.595
459,10.109,-0.285,1.471,-3.344,1.29,-1.145
509,10.061,-0.457,1.339,-3.252,0.145,-1.473
560,10.114,0.692,1.078,-3.336,-1.267,-3.16
609,10.035,-0.251,1.025,-3.328,3.779,0.817
659,9.947,-1.471,1.377,-3.176,-0.649,-1.863
709,10.155,1.008,1.454,-3.389,-1.412,-4.229
759,10.085,-0.663,0.833,-3.336,4.313,0.786
809,10.114,-0.786,1.787,-3.336,-1.534,-1.282
860,10.088,0.68,1.111,-3.137,1.176,-2.443
909,10.035,-0.742,1.15,-3.344,2.092,0.756
959,10.16,-0.436,1.475,-3.336,-0.687,-2.527
1009,10.052,0.16,1.011,-3.359,1.511,-0.519
1059,10.057,-0.685,1.499,-3.183,1.237,-0.183
1110,10.136,-0.319,1.245,-3.336,-0.008,-2.344
1160,10.09,-0.17,0.984,-3.29,1.229,-0.008
1209,10.071,-0.601,1.521,-3.237,0.534,-0.634
1259,10.064,-0.273,1.166,-3.168,0.389,-2.107
1309,9.999,-0.386,1.044,-3.565,1.305,-0.206
1359,10.018,-0.46,1.403,-3.237,0.13,-0.916
1410,10.035,-0.137,1.272,-3.183,0.626,-1.511
1460,10.023,-0.374,1.25,-3.366,1.275,-0.603
1510,10.052,-0.419,1.255,-3.313,0.458,-1.176
1560,10.059,-0.158,1.217,-3.237,0.74,-0.992
1610,10.052,-0.436,1.248,-3.305,1.0,-0.664
1660,10.069,-0.395,1.224,-3.397,0.237,-1.305
1711,10.002,-0.189,1.274,-3.244,0.702,-0.908
1760,10.081,-0.45,1.296,-3.168,0.855,-0.863
1810,10.03,-0.338,1.231,-3.282,0.557,-1.405
1860,9.994,-0.251,1.248,-3.122,0.855,-0.771
1910,10.117,-0.359,1.291,-3.534,0.863,-0.931
1960,10.09,-0.333,1.152,-3.321,0.71,-1.076
2011,10.126,-0.342,1.221,-3.176,0.695,-0.603
2060,10.033,-0.39,1.327,-3.275,0.756,-1.046
2110,10.085,-0.338,1.176,-3.344,0.817,-1.046
2160,10.09,-0.328,1.253,-3.405,0.863,-0.603
2210,10.097,-0.4,1.214,-3.313,0.748,-1.305
2260,10.073,-0.28,1.224,-3.511,0.87,-1.008
2311,10.047,-0.295,1.224,-3.298,0.794,-0.916
2360,10.102,-0.352,1.279,-3.206,0.725,-1.008
2410,10.006,-0.333,1.267,-3.206,0.863,-1.198
2460,10.061,-0.196,0.922,-3.26,1.023,-0.878
2510,10.081,-0.242,1.42,-3.511,0.496,-0.298
2561,10.09,-0.331,1.372,-3.344,1.092,-0.84
